segment_id,scene_ids,script_source,text_characters,tts_provider,voice_id,relative_path,sha256,bytes,sample_rate_hz,duration_seconds,mp3_frames,status,audio_qa,license_status,notes
GENESIS-001-SCN-01,SCN-GENESIS-001-01,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,389,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-01_voice-00.mp3,badc7db44d3710b7f392b611826c8d80eb23ac94ec7e9801186636968e8337d5,114381,24000,14.28,595,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-02,SCN-GENESIS-001-02,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,385,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-02_voice-00.mp3,72855ae62da441c08c2a43484741d2762e906c49c43fa768c62d49bd83f6365f,111981,24000,13.968,582,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-03,SCN-GENESIS-001-03,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,421,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-03_voice-00.mp3,cc6a7300d528ddb2944cd8970c238208db1a3ddfb1c7a1266b32e343ca608700,163053,24000,20.352,848,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-04,SCN-GENESIS-001-04,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,357,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-04_voice-00.mp3,570ca49a386df1e9fe296d7d13a5c02b9cb13b50d8fce61314721c8b0946ee09,114861,24000,14.328,597,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-05,SCN-GENESIS-001-05,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,391,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-05_voice-00.mp3,79d76fdf4972fee2783f3303f3e4cc2242dd61d6fdeb3e01a97890d77865d986,118893,24000,14.832,618,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-06,SCN-GENESIS-001-06,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,383,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-06_voice-00.mp3,1ffaca53e8052a706c7b25e8b26dea98e292b8d5de3fa85d8c3e0dd70759c8ff,119661,24000,14.928,622,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-07,SCN-GENESIS-001-07,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,433,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-07_voice-00.mp3,37a1358d9b465d5780fb7bfc9ba3b9a2565536bbeffecd980effb00d8912da7b,129549,24000,16.176,674,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-08,SCN-GENESIS-001-08,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,443,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-08_voice-00.mp3,066a3c64b14fb2ac4f581d432497bd78e7200701b85f054adcbe621926ee0413,143469,24000,17.904,746,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-09,SCN-GENESIS-001-09,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,428,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-09_voice-00.mp3,6ff7e2e3477904f1ae071c93bb6915036864008db361063a2aa34bcabe35b344,131661,24000,16.44,685,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-10,SCN-GENESIS-001-10,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,439,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-10_voice-00.mp3,9e9c6ae45331b3d263141bdf63ed626793d3c5a0d5427db3599e5bb03f4d5fde,140109,24000,17.496,729,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-11,SCN-GENESIS-001-11,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,464,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-11_voice-00.mp3,7fc165241179b57410845be0a4950c9f81942a82d40d50dd3fa2694b85f39744,136749,24000,17.064,711,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-12,SCN-GENESIS-001-12,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,452,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-12_voice-00.mp3,d834025b82f32f6f8750296bee2853c309c577bf784b08ea666d819db2a00644,143853,24000,17.952,748,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-13,SCN-GENESIS-001-13,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,419,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-13_voice-00.mp3,18313f0af39f890d52cae096c07f57a832bd6ef5c2c264e7df7c02946e2ff779,130701,24000,16.32,680,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-14,SCN-GENESIS-001-14,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,470,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-14_voice-00.mp3,8082f1193ed2dde661dbf0cef3e792a042a96727592ff266275cf0a816bae308,138093,24000,17.232,718,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-15,SCN-GENESIS-001-15,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,454,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-15_voice-00.mp3,17c0f437e2ceaf48b8fe5e52f07bde2780d919bd02f2c8f50cb1abffb67d8ce5,139821,24000,17.448,727,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
GENESIS-001-SCN-16,SCN-GENESIS-001-16,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,414,Arena speech synthesis,voice-00,audio/GENESIS-001/scenes/GENESIS-001_SCN-16_voice-00.mp3,3bf9c11b934d4a495016d7423dff6faeb2801a8aa4ce76ef1fea91081ea3a5ad,125901,24000,15.72,655,generated_per_scene,pending_human_listen,terms_restricted_internal_only_per_ADR-020,Individual per-scene file (persistent). Real duration measured from MP3 frames. Arena ToS: internal/personal use only (ADR-020).
